[[5, 12, 2, 9, 13, 7, 4], ['121332', '113322', '131322', '113223', '121233', '112233', '131223'], [0, 3, 0, 2, 5, 3, 1]]
[[2, 9, 13, 12, 4, 7, 5], ['131322', '113223', '121233', '113322', '131223', '112233', '121332'], [0, 4, 1, 2, 5, 1, 3]]
[[7, 9, 5, 12, 13, 2, 4], ['112233', '113223', '121332', '113322', '121233', '131322', '131223'], [0, 3, 4, 5, 3, 0, 5]]
[[12, 7, 9, 13, 2, 5, 4], ['113322', '112233', '113223', '121233', '131322', '121332', '131223'], [0, 4, 2, 5, 3, 4, 2]]
[[4, 2, 9, 7, 13, 12, 5], ['131223', '131322', '113223', '112233', '121233', '113322', '121332'], [0, 3, 4, 1, 3, 4, 2]]
[[7, 2, 4, 9, 12, 5, 13], ['112233', '131322', '131223', '113223', '113322', '121332', '121233'], [0, 3, 4, 5, 4, 2, 3]]
[[13, 7, 9, 5, 2, 12, 4], ['121233', '112233', '113223', '121332', '131322', '113322', '131223'], [0, 3, 0, 1, 4, 1, 5]]
[[12, 7, 9, 4, 2, 5, 13], ['113322', '112233', '113223', '131223', '131322', '121332', '121233'], [0, 3, 3, 2, 1, 4, 1]]
[[9, 2, 4, 12, 5, 13, 7], ['113223', '131322', '131223', '113322', '121332', '121233', '112233'], [0, 5, 2, 3, 5, 2, 3]]
[[12, 2, 9, 4, 7, 13, 5], ['113322', '131322', '113223', '131223', '112233', '121233', '121332'], [0, 5, 3, 2, 5, 2, 3]]
[[7, 4, 9, 5, 12, 2, 13], ['112233', '131223', '113223', '121332', '113322', '131322', '121233'], [0, 3, 3, 2, 5, 2, 3]]
[[7, 4, 2, 13, 5, 12, 9], ['112233', '131223', '131322', '121233', '121332', '113322', '113223'], [0, 5, 4, 4, 5, 1, 3]]
[[4, 12, 13, 2, 9, 7, 5], ['131223', '113322', '121233', '131322', '113223', '112233', '121332'], [0, 4, 1, 1, 3, 2, 2]]
[[13, 9, 2, 5, 7, 4, 12], ['121233', '113223', '131322', '121332', '112233', '131223', '113322'], [0, 4, 1, 1, 2, 4, 1]]
[[5, 13, 7, 12, 9, 4, 2], ['121332', '121233', '112233', '113322', '113223', '131223', '131322'], [0, 5, 4, 1, 2, 0, 3]]
[[4, 2, 12, 9, 5, 13, 7], ['131223', '131322', '113322', '113223', '121332', '121233', '112233'], [0, 3, 5, 2, 5, 2, 3]]
[[12, 13, 7, 4, 2, 5, 9], ['113322', '121233', '112233', '131223', '131322', '121332', '113223'], [0, 5, 3, 0, 3, 4, 2]]
[[5, 4, 13, 7, 12, 9, 2], ['121332', '131223', '121233', '112233', '113322', '113223', '131322'], [0, 3, 5, 1, 2, 4, 2]]
[[9, 12, 4, 13, 7, 5, 2], ['113223', '113322', '131223', '121233', '112233', '121332', '131322'], [0, 3, 4, 5, 2, 0, 5]]
[[12, 7, 9, 4, 2, 13, 5], ['113322', '112233', '113223', '131223', '131322', '121233', '121332'], [0, 3, 3, 0, 3, 0, 5]]
[[9, 7, 4, 12, 5, 13, 2], ['113223', '112233', '131223', '113322', '121332', '121233', '131322'], [0, 3, 2, 3, 5, 2, 5]]
[[4, 5, 12, 2, 9, 7, 13], ['131223', '121332', '113322', '131322', '113223', '112233', '121233'], [0, 5, 5, 3, 4, 1, 3]]
[[5, 13, 9, 2, 7, 12, 4], ['121332', '121233', '113223', '131322', '112233', '113322', '131223'], [0, 5, 5, 3, 4, 2, 2]]
[[7, 4, 12, 2, 9, 13, 5], ['112233', '131223', '113322', '131322', '113223', '121233', '121332'], [0, 3, 3, 0, 3, 3, 2]]
[[7, 4, 2, 12, 9, 5, 13], ['112233', '131223', '131322', '113322', '113223', '121332', '121233'], [0, 5, 2, 5, 4, 3, 2]]
[[2, 13, 5, 9, 7, 12, 4], ['131322', '121233', '121332', '113223', '112233', '113322', '131223'], [0, 3, 5, 1, 4, 3, 2]]
[[13, 2, 4, 12, 7, 9, 5], ['121233', '131322', '131223', '113322', '112233', '113223', '121332'], [0, 3, 5, 1, 2, 4, 2]]
