[[3, 9, 2, 6, 5, 11, 10], ['112332', '113223', '131322', '113232', '121332', '221331', '131232'], [0, 3, 4, 4, 3, 3, 1]]
[[5, 10, 11, 3, 9, 2, 6], ['121332', '131232', '221331', '112332', '113223', '131322', '113232'], [0, 3, 2, 1, 2, 0, 3]]
[[11, 6, 9, 10, 3, 5, 2], ['221331', '113232', '113223', '131232', '112332', '121332', '131322'], [0, 0, 0, 3, 3, 3, 0]]
[[5, 11, 9, 2, 10, 6, 3], ['121332', '221331', '113223', '131322', '131232', '113232', '112332'], [0, 5, 5, 1, 4, 1, 3]]
[[3, 5, 10, 9, 6, 2, 11], ['112332', '121332', '131232', '113223', '113232', '131322', '221331'], [0, 3, 4, 5, 2, 0, 5]]
[[6, 2, 5, 9, 3, 11, 10], ['113232', '131322', '121332', '113223', '112332', '221331', '131232'], [0, 3, 2, 3, 5, 2, 3]]
[[5, 6, 9, 10, 2, 11, 3], ['121332', '113232', '113223', '131232', '131322', '221331', '112332'], [0, 3, 5, 1, 3, 3, 0]]
[[6, 9, 10, 2, 5, 11, 3], ['113232', '113223', '131232', '131322', '121332', '221331', '112332'], [0, 3, 2, 4, 1, 3, 0]]
[[2, 10, 3, 11, 5, 6, 9], ['131322', '131232', '112332', '221331', '121332', '113232', '113223'], [0, 5, 5, 0, 3, 4, 2]]
[[2, 11, 5, 3, 6, 10, 9], ['131322', '221331', '121332', '112332', '113232', '131232', '113223'], [0, 2, 5, 1, 2, 4, 2]]
[[11, 3, 5, 2, 6, 10, 9], ['221331', '112332', '121332', '131322', '113232', '131232', '113223'], [0, 5, 1, 1, 2, 0, 4]]
[[5, 9, 11, 3, 10, 2, 6], ['121332', '113223', '221331', '112332', '131232', '131322', '113232'], [0, 4, 3, 2, 1, 0, 3]]
[[10, 5, 6, 11, 9, 2, 3], ['131232', '121332', '113232', '221331', '113223', '131322', '112332'], [0, 5, 0, 0, 4, 2, 3]]
[[6, 11, 5, 3, 9, 2, 10], ['113232', '221331', '121332', '112332', '113223', '131322', '131232'], [0, 5, 2, 5, 4, 2, 3]]
[[2, 11, 9, 6, 5, 3, 10], ['131322', '221331', '113223', '113232', '121332', '112332', '131232'], [0, 5, 4, 1, 4, 1, 3]]
[[10, 2, 11, 9, 6, 5, 3], ['131232', '131322', '221331', '113223', '113232', '121332', '112332'], [0, 5, 5, 1, 3, 2, 3]]
[[3, 2, 10, 9, 5, 11, 6], ['112332', '131322', '131232', '113223', '121332', '221331', '113232'], [0, 5, 2, 4, 3, 3, 1]]
[[11, 3, 6, 2, 10, 5, 9], ['221331', '112332', '113232', '131322', '131232', '121332', '113223'], [0, 2, 5, 1, 4, 3, 5]]
[[5, 9, 6, 11, 2, 10, 3], ['121332', '113223', '113232', '221331', '131322', '131232', '112332'], [0, 4, 1, 3, 3, 0, 3]]
[[5, 3, 2, 6, 10, 9, 11], ['121332', '112332', '131322', '113232', '131232', '113223', '221331'], [0, 3, 0, 2, 1, 4, 4]]
[[10, 11, 5, 9, 2, 3, 6], ['131232', '221331', '121332', '113223', '131322', '112332', '113232'], [0, 5, 0, 2, 5, 3, 1]]
[[3, 10, 5, 11, 9, 2, 6], ['112332', '131232', '121332', '221331', '113223', '131322', '113232'], [0, 3, 2, 1, 5, 2, 3]]
[[2, 6, 3, 10, 5, 9, 11], ['131322', '113232', '112332', '131232', '121332', '113223', '221331'], [0, 3, 0, 1, 4, 3, 4]]
[[3, 10, 6, 5, 2, 11, 9], ['112332', '131232', '113232', '121332', '131322', '221331', '113223'], [0, 5, 3, 2, 1, 3, 2]]
