[[6, 13, 12, 11, 9, 3, 7], ['113232', '121233', '113322', '221331', '113223', '112332', '112233'], [0, 3, 3, 5, 4, 3, 1]]
[[6, 7, 12, 11, 9, 3, 13], ['113232', '112233', '113322', '221331', '113223', '112332', '121233'], [0, 3, 3, 5, 4, 3, 1]]
[[12, 6, 3, 11, 7, 9, 13], ['113322', '113232', '112332', '221331', '112233', '113223', '121233'], [0, 3, 3, 5, 4, 2, 1]]
[[9, 11, 13, 6, 12, 3, 7], ['113223', '221331', '121233', '113232', '113322', '112332', '112233'], [0, 5, 4, 5, 4, 1, 3]]
[[6, 3, 12, 9, 13, 11, 7], ['113232', '112332', '113322', '113223', '121233', '221331', '112233'], [0, 4, 2, 3, 1, 3, 1]]
[[11, 7, 13, 9, 3, 6, 12], ['221331', '112233', '121233', '113223', '112332', '113232', '113322'], [0, 5, 3, 1, 3, 1, 4]]
[[3, 12, 13, 6, 11, 9, 7], ['112332', '113322', '121233', '113232', '221331', '113223', '112233'], [0, 3, 2, 4, 3, 4, 0]]
[[13, 6, 11, 9, 3, 7, 12], ['121233', '113232', '221331', '113223', '112332', '112233', '113322'], [0, 3, 2, 1, 2, 4, 0]]
[[13, 12, 11, 3, 9, 7, 6], ['121233', '113322', '221331', '112332', '113223', '112233', '113232'], [0, 3, 2, 1, 3, 3, 0]]
[[12, 11, 3, 13, 7, 9, 6], ['113322', '221331', '112332', '121233', '112233', '113223', '113232'], [0, 5, 3, 0, 4, 2, 1]]
[[12, 9, 11, 6, 7, 3, 13], ['113322', '113223', '221331', '113232', '112233', '112332', '121233'], [0, 3, 4, 3, 5, 1, 5]]
[[6, 12, 7, 13, 9, 11, 3], ['113232', '113322', '112233', '121233', '113223', '221331', '112332'], [0, 4, 2, 5, 3, 2, 3]]
[[12, 7, 9, 13, 11, 6, 3], ['113322', '112233', '113223', '121233', '221331', '113232', '112332'], [0, 3, 3, 0, 3, 4, 0]]
[[9, 13, 12, 7, 3, 11, 6], ['113223', '121233', '113322', '112233', '112332', '221331', '113232'], [0, 3, 3, 0, 2, 0, 2]]
[[13, 9, 3, 6, 7, 11, 12], ['121233', '113223', '112332', '113232', '112233', '221331', '113322'], [0, 3, 4, 1, 2, 3, 0]]
[[9, 3, 7, 11, 13, 6, 12], ['113223', '112332', '112233', '221331', '121233', '113232', '113322'], [0, 3, 3, 5, 3, 4, 0]]
[[11, 3, 13, 6, 9, 7, 12], ['221331', '112332', '121233', '113232', '113223', '112233', '113322'], [0, 2, 5, 1, 2, 4, 5]]
[[12, 6, 7, 11, 3, 9, 13], ['113322', '113232', '112233', '221331', '112332', '113223', '121233'], [0, 3, 3, 5, 3, 2, 1]]
[[11, 13, 3, 12, 9, 6, 7], ['221331', '121233', '112332', '113322', '113223', '113232', '112233'], [0, 0, 1, 2, 5, 1, 4]]
[[7, 6, 13, 9, 3, 11, 12], ['112233', '113232', '121233', '113223', '112332', '221331', '113322'], [0, 3, 4, 4, 2, 3, 0]]
[[13, 3, 11, 12, 9, 7, 6], ['121233', '112332', '221331', '113322', '113223', '112233', '113232'], [0, 3, 2, 1, 3, 3, 0]]
[[6, 3, 7, 12, 13, 11, 9], ['113232', '112332', '112233', '113322', '121233', '221331', '113223'], [0, 4, 2, 3, 1, 3, 2]]
[[7, 13, 11, 6, 9, 12, 3], ['112233', '121233', '221331', '113232', '113223', '113322', '112332'], [0, 5, 1, 4, 4, 2, 1]]
[[7, 9, 12, 11, 6, 13, 3], ['112233', '113223', '113322', '221331', '113232', '121233', '112332'], [0, 4, 2, 1, 5, 3, 2]]
[[7, 6, 13, 12, 9, 3, 11], ['112233', '113232', '121233', '113322', '113223', '112332', '221331'], [0, 3, 4, 5, 4, 3, 1]]
[[9, 7, 12, 13, 3, 11, 6], ['113223', '112233', '113322', '121233', '112332', '221331', '113232'], [0, 3, 3, 0, 2, 0, 0]]
[[6, 12, 3, 9, 11, 7, 13], ['113232', '113322', '112332', '113223', '221331', '112233', '121233'], [0, 3, 3, 0, 0, 4, 1]]
[[7, 12, 11, 3, 6, 13, 9], ['112233', '113322', '221331', '112332', '113232', '121233', '113223'], [0, 3, 1, 3, 5, 3, 0]]
[[3, 7, 6, 12, 9, 11, 13], ['112332', '112233', '113232', '113322', '113223', '221331', '121233'], [0, 3, 3, 0, 2, 3, 1]]
[[13, 7, 3, 12, 6, 11, 9], ['121233', '112233', '112332', '113322', '113232', '221331', '113223'], [0, 4, 1, 2, 5, 2, 3]]
[[7, 12, 6, 11, 13, 9, 3], ['112233', '113322', '113232', '221331', '121233', '113223', '112332'], [0, 4, 2, 1, 1, 4, 2]]
[[6, 12, 7, 11, 9, 3, 13], ['113232', '113322', '112233', '221331', '113223', '112332', '121233'], [0, 3, 3, 5, 4, 3, 1]]
[[3, 13, 11, 9, 6, 12, 7], ['112332', '121233', '221331', '113223', '113232', '113322', '112233'], [0, 5, 1, 5, 4, 2, 1]]
[[7, 3, 11, 13, 12, 6, 9], ['112233', '112332', '221331', '121233', '113322', '113232', '113223'], [0, 3, 1, 4, 5, 3, 0]]
[[6, 9, 12, 11, 7, 3, 13], ['113232', '113223', '113322', '221331', '112233', '112332', '121233'], [0, 3, 3, 5, 3, 3, 1]]
[[6, 11, 13, 3, 9, 7, 12], ['113232', '221331', '121233', '112332', '113223', '112233', '113322'], [0, 5, 2, 4, 3, 3, 2]]
[[13, 3, 12, 11, 9, 7, 6], ['121233', '112332', '113322', '221331', '113223', '112233', '113232'], [0, 3, 0, 3, 3, 3, 0]]
[[13, 11, 7, 3, 12, 6, 9], ['121233', '221331', '112233', '112332', '113322', '113232', '113223'], [0, 2, 5, 2, 5, 1, 3]]
[[3, 6, 11, 9, 12, 13, 7], ['112332', '113232', '221331', '113223', '113322', '121233', '112233'], [0, 3, 1, 5, 3, 3, 0]]
[[13, 9, 6, 12, 3, 11, 7], ['121233', '113223', '113232', '113322', '112332', '221331', '112233'], [0, 4, 1, 2, 5, 2, 3]]
[[3, 9, 12, 6, 11, 7, 13], ['112332', '113223', '113322', '113232', '221331', '112233', '121233'], [0, 3, 3, 0, 3, 4, 1]]
[[11, 9, 7, 6, 12, 3, 13], ['221331', '113223', '112233', '113232', '113322', '112332', '121233'], [0, 1, 4, 1, 3, 2, 4]]
[[13, 3, 11, 6, 12, 7, 9], ['121233', '112332', '221331', '113232', '113322', '112233', '113223'], [0, 3, 2, 1, 4, 3, 0]]
[[9, 6, 7, 13, 11, 12, 3], ['113223', '113232', '112233', '121233', '221331', '113322', '112332'], [0, 4, 2, 5, 0, 4, 2]]
[[11, 9, 3, 7, 13, 6, 12], ['221331', '113223', '112332', '112233', '121233', '113232', '113322'], [0, 0, 4, 1, 4, 1, 4]]
[[11, 3, 12, 13, 7, 6, 9], ['221331', '112332', '113322', '121233', '112233', '113232', '113223'], [0, 5, 1, 1, 4, 1, 4]]
[[9, 11, 12, 7, 13, 6, 3], ['113223', '221331', '113322', '112233', '121233', '113232', '112332'], [0, 2, 3, 0, 3, 4, 1]]
[[11, 9, 6, 12, 7, 3, 13], ['221331', '113223', '113232', '113322', '112233', '112332', '121233'], [0, 0, 5, 2, 5, 2, 0]]
[[3, 11, 6, 12, 9, 13, 7], ['112332', '221331', '113232', '113322', '113223', '121233', '112233'], [0, 2, 3, 0, 2, 4, 1]]
[[7, 11, 13, 9, 6, 3, 12], ['112233', '221331', '121233', '113223', '113232', '112332', '113322'], [0, 5, 4, 4, 3, 2, 1]]
[[7, 11, 12, 6, 9, 3, 13], ['112233', '221331', '113322', '113232', '113223', '112332', '121233'], [0, 2, 3, 0, 4, 3, 2]]
[[11, 6, 7, 13, 12, 9, 3], ['221331', '113232', '112233', '121233', '113322', '113223', '112332'], [0, 2, 5, 1, 2, 4, 5]]
[[3, 13, 12, 6, 11, 7, 9], ['112332', '121233', '113322', '113232', '221331', '112233', '113223'], [0, 3, 3, 0, 3, 4, 2]]
[[9, 12, 3, 7, 13, 11, 6], ['113223', '113322', '112332', '112233', '121233', '221331', '113232'], [0, 3, 3, 0, 3, 0, 0]]
[[6, 7, 3, 12, 13, 11, 9], ['113232', '112233', '112332', '113322', '121233', '221331', '113223'], [0, 4, 2, 4, 3, 3, 2]]
[[7, 13, 9, 11, 12, 3, 6], ['112233', '121233', '113223', '221331', '113322', '112332', '113232'], [0, 3, 3, 2, 4, 2, 2]]
[[6, 9, 12, 11, 13, 7, 3], ['113232', '113223', '113322', '221331', '121233', '112233', '112332'], [0, 3, 3, 5, 3, 4, 0]]
[[9, 12, 13, 11, 3, 7, 6], ['113223', '113322', '121233', '221331', '112332', '112233', '113232'], [0, 3, 2, 4, 5, 2, 0]]
[[9, 11, 13, 12, 6, 3, 7], ['113223', '221331', '121233', '113322', '113232', '112332', '112233'], [0, 5, 4, 4, 3, 1, 3]]
[[11, 7, 13, 12, 6, 9, 3], ['221331', '112233', '121233', '113322', '113232', '113223', '112332'], [0, 5, 3, 1, 4, 1, 4]]
[[9, 13, 11, 12, 3, 6, 7], ['113223', '121233', '221331', '113322', '112332', '113232', '112233'], [0, 5, 1, 3, 5, 2, 2]]
[[6, 12, 13, 3, 11, 9, 7], ['113232', '113322', '121233', '112332', '221331', '113223', '112233'], [0, 3, 2, 4, 0, 4, 0]]
[[9, 11, 12, 7, 3, 6, 13], ['113223', '221331', '113322', '112233', '112332', '113232', '121233'], [0, 2, 3, 0, 2, 4, 2]]
[[13, 7, 6, 9, 11, 3, 12], ['121233', '112233', '113232', '113223', '221331', '112332', '113322'], [0, 3, 5, 2, 1, 3, 0]]
[[3, 13, 11, 7, 9, 6, 12], ['112332', '121233', '221331', '112233', '113223', '113232', '113322'], [0, 3, 4, 3, 5, 1, 3]]
[[7, 9, 3, 11, 6, 13, 12], ['112233', '113223', '112332', '221331', '113232', '121233', '113322'], [0, 4, 2, 1, 5, 3, 1]]
[[6, 13, 11, 3, 9, 12, 7], ['113232', '121233', '221331', '112332', '113223', '113322', '112233'], [0, 3, 4, 5, 4, 2, 1]]
[[11, 12, 13, 7, 3, 9, 6], ['221331', '113322', '121233', '112233', '112332', '113223', '113232'], [0, 1, 5, 1, 3, 1, 4]]
[[3, 11, 13, 12, 7, 9, 6], ['112332', '221331', '121233', '113322', '112233', '113223', '113232'], [0, 5, 4, 5, 4, 1, 3]]
[[13, 11, 7, 3, 6, 12, 9], ['121233', '221331', '112233', '112332', '113232', '113322', '113223'], [0, 2, 5, 2, 5, 1, 3]]
[[13, 12, 3, 9, 11, 6, 7], ['121233', '113322', '112332', '113223', '221331', '113232', '112233'], [0, 4, 1, 2, 1, 1, 3]]
[[13, 7, 12, 3, 11, 6, 9], ['121233', '112233', '113322', '112332', '221331', '113232', '113223'], [0, 4, 1, 2, 1, 1, 3]]
[[12, 6, 11, 7, 9, 3, 13], ['113322', '113232', '221331', '112233', '113223', '112332', '121233'], [0, 3, 1, 5, 2, 4, 1]]
[[6, 13, 3, 11, 7, 9, 12], ['113232', '121233', '112332', '221331', '112233', '113223', '113322'], [0, 5, 3, 5, 3, 1, 3]]
[[6, 7, 12, 9, 11, 13, 3], ['113232', '112233', '113322', '113223', '221331', '121233', '112332'], [0, 3, 3, 0, 0, 4, 0]]
[[11, 3, 13, 12, 9, 7, 6], ['221331', '112332', '121233', '113322', '113223', '112233', '113232'], [0, 2, 5, 1, 2, 4, 5]]
[[6, 11, 3, 7, 13, 9, 12], ['113232', '221331', '112332', '112233', '121233', '113223', '113322'], [0, 5, 3, 0, 3, 4, 2]]
[[11, 9, 3, 6, 12, 7, 13], ['221331', '113223', '112332', '113232', '113322', '112233', '121233'], [0, 0, 4, 1, 3, 3, 0]]
[[13, 7, 6, 9, 12, 3, 11], ['121233', '112233', '113232', '113223', '113322', '112332', '221331'], [0, 3, 5, 2, 5, 3, 1]]
[[7, 12, 3, 9, 6, 11, 13], ['112233', '113322', '112332', '113223', '113232', '221331', '121233'], [0, 4, 2, 4, 3, 2, 3]]
[[11, 6, 9, 13, 7, 3, 12], ['221331', '113232', '113223', '121233', '112233', '112332', '113322'], [0, 2, 0, 1, 4, 3, 5]]
[[13, 7, 6, 9, 11, 12, 3], ['121233', '112233', '113232', '113223', '221331', '113322', '112332'], [0, 4, 1, 2, 1, 2, 1]]
[[13, 7, 11, 3, 12, 6, 9], ['121233', '112233', '221331', '112332', '113322', '113232', '113223'], [0, 4, 3, 2, 5, 1, 3]]
[[12, 3, 9, 11, 13, 6, 7], ['113322', '112332', '113223', '221331', '121233', '113232', '112233'], [0, 4, 2, 4, 5, 2, 1]]
[[13, 6, 3, 11, 9, 12, 7], ['121233', '113232', '112332', '221331', '113223', '113322', '112233'], [0, 4, 1, 3, 3, 1, 3]]
[[6, 11, 13, 7, 9, 12, 3], ['113232', '221331', '121233', '112233', '113223', '113322', '112332'], [0, 5, 2, 5, 3, 1, 3]]
[[6, 12, 13, 7, 9, 3, 11], ['113232', '113322', '121233', '112233', '113223', '112332', '221331'], [0, 3, 2, 5, 3, 2, 4]]
[[13, 9, 12, 3, 6, 11, 7], ['121233', '113223', '113322', '112332', '113232', '221331', '112233'], [0, 4, 1, 2, 5, 2, 3]]
[[6, 12, 7, 9, 11, 13, 3], ['113232', '113322', '112233', '113223', '221331', '121233', '112332'], [0, 3, 3, 0, 0, 4, 0]]
[[13, 12, 11, 7, 3, 9, 6], ['121233', '113322', '221331', '112233', '112332', '113223', '113232'], [0, 3, 2, 1, 2, 4, 0]]
[[6, 9, 11, 12, 3, 7, 13], ['113232', '113223', '221331', '113322', '112332', '112233', '121233'], [0, 3, 4, 4, 2, 4, 1]]
[[6, 13, 12, 7, 3, 11, 9], ['113232', '121233', '113322', '112233', '112332', '221331', '113223'], [0, 3, 3, 0, 2, 3, 2]]
[[11, 6, 9, 13, 12, 3, 7], ['221331', '113232', '113223', '121233', '113322', '112332', '112233'], [0, 2, 0, 3, 3, 2, 5]]
[[13, 9, 6, 11, 12, 7, 3], ['121233', '113223', '113232', '221331', '113322', '112233', '112332'], [0, 4, 1, 3, 4, 3, 2]]
[[11, 12, 9, 13, 7, 6, 3], ['221331', '113322', '113223', '121233', '112233', '113232', '112332'], [0, 1, 0, 1, 4, 1, 4]]
[[13, 3, 11, 12, 7, 9, 6], ['121233', '112332', '221331', '113322', '112233', '113223', '113232'], [0, 3, 2, 1, 2, 4, 0]]
[[12, 11, 13, 6, 9, 7, 3], ['113322', '221331', '121233', '113232', '113223', '112233', '112332'], [0, 5, 4, 3, 5, 1, 3]]
[[11, 3, 7, 13, 6, 12, 9], ['221331', '112332', '112233', '121233', '113232', '113322', '113223'], [0, 2, 5, 3, 4, 2, 5]]
[[13, 12, 7, 3, 11, 9, 6], ['121233', '113322', '112233', '112332', '221331', '113223', '113232'], [0, 3, 4, 1, 0, 4, 0]]
[[6, 3, 7, 9, 12, 13, 11], ['113232', '112332', '112233', '113223', '113322', '121233', '221331'], [0, 3, 3, 0, 4, 3, 4]]
[[13, 6, 3, 11, 9, 7, 12], ['121233', '113232', '112332', '221331', '113223', '112233', '113322'], [0, 4, 1, 3, 3, 3, 1]]
[[3, 13, 11, 7, 6, 9, 12], ['112332', '121233', '221331', '112233', '113232', '113223', '113322'], [0, 5, 1, 4, 4, 1, 3]]
[[9, 13, 11, 7, 12, 6, 3], ['113223', '121233', '221331', '112233', '113322', '113232', '112332'], [0, 5, 1, 5, 4, 2, 1]]
[[12, 11, 3, 7, 13, 9, 6], ['113322', '221331', '112332', '112233', '121233', '113223', '113232'], [0, 5, 3, 0, 4, 2, 1]]
[[3, 6, 13, 12, 11, 9, 7], ['112332', '113232', '121233', '113322', '221331', '113223', '112233'], [0, 3, 4, 5, 3, 4, 0]]
[[7, 9, 6, 11, 3, 13, 12], ['112233', '113223', '113232', '221331', '112332', '121233', '113322'], [0, 4, 2, 1, 5, 3, 1]]
[[11, 6, 13, 3, 9, 7, 12], ['221331', '113232', '121233', '112332', '113223', '112233', '113322'], [0, 2, 5, 1, 2, 4, 5]]
[[12, 13, 11, 3, 6, 9, 7], ['113322', '121233', '221331', '112332', '113232', '113223', '112233'], [0, 5, 1, 4, 4, 2, 1]]
[[12, 3, 9, 7, 6, 13, 11], ['113322', '112332', '113223', '112233', '113232', '121233', '221331'], [0, 4, 2, 5, 2, 0, 5]]
[[6, 12, 7, 13, 3, 9, 11], ['113232', '113322', '112233', '121233', '112332', '113223', '221331'], [0, 3, 3, 0, 2, 4, 4]]
[[9, 7, 11, 3, 13, 6, 12], ['113223', '112233', '221331', '112332', '121233', '113232', '113322'], [0, 3, 4, 5, 3, 4, 0]]
[[6, 9, 12, 7, 3, 11, 13], ['113232', '113223', '113322', '112233', '112332', '221331', '121233'], [0, 3, 3, 0, 2, 3, 1]]
[[9, 6, 13, 7, 11, 3, 12], ['113223', '113232', '121233', '112233', '221331', '112332', '113322'], [0, 3, 2, 5, 0, 4, 0]]
[[3, 9, 6, 11, 13, 7, 12], ['112332', '113223', '113232', '221331', '121233', '112233', '113322'], [0, 4, 2, 1, 5, 3, 2]]
