[[5, 1, 8, 6, 4, 13, 0], ['121332', '212313', '121323', '113232', '131223', '121233', '112323'], [0, 1, 0, 2, 1, 4, 2]]
[[4, 5, 8, 0, 1, 6, 13], ['131223', '121332', '121323', '112323', '212313', '113232', '121233'], [0, 3, 5, 1, 2, 4, 2]]
[[13, 1, 4, 0, 6, 5, 8], ['121233', '212313', '131223', '112323', '113232', '121332', '121323'], [0, 4, 5, 1, 3, 2, 3]]
[[6, 0, 1, 5, 8, 4, 13], ['113232', '112323', '212313', '121332', '121323', '131223', '121233'], [0, 3, 0, 4, 1, 0, 5]]
[[1, 0, 6, 4, 8, 13, 5], ['212313', '112323', '113232', '131223', '121323', '121233', '121332'], [0, 5, 2, 4, 5, 1, 2]]
[[1, 8, 6, 5, 4, 0, 13], ['212313', '121323', '113232', '121332', '131223', '112323', '121233'], [0, 1, 3, 2, 5, 0, 3]]
[[4, 5, 6, 13, 8, 0, 1], ['131223', '121332', '113232', '121233', '121323', '112323', '212313'], [0, 3, 0, 1, 4, 1, 1]]
[[8, 13, 0, 5, 6, 4, 1], ['121323', '121233', '112323', '121332', '113232', '131223', '212313'], [0, 3, 0, 3, 4, 2, 1]]
[[1, 4, 0, 8, 13, 5, 6], ['212313', '131223', '112323', '121323', '121233', '121332', '113232'], [0, 0, 2, 5, 4, 5, 2]]
[[1, 6, 5, 4, 8, 0, 13], ['212313', '113232', '121332', '131223', '121323', '112323', '121233'], [0, 0, 4, 4, 5, 0, 3]]
[[0, 13, 8, 4, 6, 5, 1], ['112323', '121233', '121323', '131223', '113232', '121332', '212313'], [0, 5, 2, 5, 2, 0, 1]]
[[0, 8, 6, 5, 13, 1, 4], ['112323', '121323', '113232', '121332', '121233', '212313', '131223'], [0, 3, 3, 2, 5, 1, 3]]
[[0, 8, 6, 5, 4, 1, 13], ['112323', '121323', '113232', '121332', '131223', '212313', '121233'], [0, 3, 3, 2, 1, 5, 2]]
[[4, 6, 1, 8, 0, 5, 13], ['131223', '113232', '212313', '121323', '112323', '121332', '121233'], [0, 4, 5, 1, 2, 0, 3]]
[[8, 13, 6, 5, 0, 4, 1], ['121323', '121233', '113232', '121332', '112323', '131223', '212313'], [0, 3, 5, 3, 3, 2, 1]]
[[0, 1, 8, 6, 5, 13, 4], ['112323', '212313', '121323', '113232', '121332', '121233', '131223'], [0, 4, 2, 4, 3, 0, 3]]
[[13, 1, 0, 6, 4, 8, 5], ['121233', '212313', '112323', '113232', '131223', '121323', '121332'], [0, 1, 4, 1, 3, 4, 2]]
[[8, 4, 13, 6, 1, 5, 0], ['121323', '131223', '121233', '113232', '212313', '121332', '112323'], [0, 5, 5, 1, 5, 0, 3]]
[[8, 13, 4, 1, 6, 5, 0], ['121323', '121233', '131223', '212313', '113232', '121332', '112323'], [0, 3, 0, 2, 2, 0, 3]]
[[13, 0, 8, 5, 4, 1, 6], ['121233', '112323', '121323', '121332', '131223', '212313', '113232'], [0, 3, 0, 3, 3, 2, 0]]
[[0, 4, 6, 5, 13, 1, 8], ['112323', '131223', '113232', '121332', '121233', '212313', '121323'], [0, 5, 3, 2, 5, 1, 3]]
[[4, 1, 6, 0, 5, 8, 13], ['131223', '212313', '113232', '112323', '121332', '121323', '121233'], [0, 4, 0, 2, 5, 3, 2]]
